1,4.29
2,4.63
3,4.763
4,4.849
5,5.07
6,5.262
7,5.345
8,5.405
9,5.477
10,5.538
11,5.568
12,5.621
13,5.619
14,5.652
15,5.714
16,5.696
17,5.765
18,5.805
19,5.854
20,5.95
21,5.969
22,6.019
23,6.077
24,6.112
25,6.177
26,6.153
27,6.21
28,6.209
29,6.306
30,6.307
31,6.335
32,6.349
33,6.383
34,6.36
35,6.401
36,6.415
37,6.378
38,6.395
39,6.46
40,6.48
41,6.469
42,6.5
43,6.508
44,6.513
45,6.551
46,6.536
47,6.546
48,6.565
49,6.565
50,6.554
51,6.6
52,6.569
53,6.593
54,6.608
55,6.622
56,6.672
57,6.603
58,6.668
59,6.637
60,6.662
61,6.709
62,6.763
63,6.72
64,6.766
65,6.807
66,6.785
67,6.771
68,6.83
69,6.834
70,6.9
71,6.875
72,6.883
73,6.911
74,6.925
75,6.932
76,6.982
77,6.995
78,6.961
79,7.003
80,6.995
81,7.055
82,7.033
83,7.063
84,7.051
85,7.044
86,7.11
87,7.056
88,7.099
89,7.126
90,7.109
91,7.186
92,7.137
93,7.22
94,7.131
95,7.233
96,7.238
97,7.235
98,7.202
99,7.21
100,7.201
