1,41041
2,59249
3,73036
4,84578
5,94702
6,103827
7,112199
8,119977
9,127270
10,134161
11,140707
12,146957
13,152946
14,158705
15,164259
16,169626
17,174827
18,179873
19,184779
20,189556
21,194213
22,198759
23,203202
24,207547
25,211802
26,215972
27,220060
28,224073
29,228015
30,231887
31,235696
32,239442
33,243130
34,246762
35,250340
36,253867
37,257344
38,260775
39,264160
40,267501
41,270801
42,274060
43,277280
44,280463
45,283610
46,286721
47,289798
48,292843
49,295855
50,298837
51,301789
52,304711
53,307606
54,310473
55,313313
56,316128
57,318918
58,321682
59,324423
60,327141
61,329835
62,332508
63,335159
64,337788
65,340398
66,342987
67,345557
68,348106
69,350638
70,353151
71,355646
72,358123
73,360583
74,363026
75,365452
76,367862
77,370257
78,372636
79,374999
80,377347
81,379681
82,382000
83,384305
84,386596
85,388873
86,391137
87,393388
88,395626
89,397850
90,400063
91,402263
92,404451
93,406627
94,408791
95,410944
96,413085
97,415215
98,417334
99,419443
100,421540
