1,3.321
2,3.659
3,3.769
4,3.829
5,3.864
6,3.87
7,3.952
8,4.092
9,4.174
10,4.264
11,4.343
12,4.394
13,4.444
14,4.489
15,4.566
16,4.556
17,4.582
18,4.629
19,4.624
20,4.668
21,4.632
22,4.68
23,4.713
24,4.706
25,4.733
26,4.714
27,4.72
28,4.745
29,4.752
30,4.774
31,4.778
32,4.772
33,4.776
34,4.764
35,4.804
36,4.801
37,4.817
38,4.81
39,4.812
40,4.832
41,4.882
42,4.895
43,4.936
44,4.954
45,4.962
46,5.017
47,4.991
48,5.025
49,5.034
50,5.095
51,5.099
52,5.131
53,5.095
54,5.1
55,5.136
56,5.167
57,5.208
58,5.211
59,5.221
60,5.222
61,5.224
62,5.212
63,5.235
64,5.253
65,5.291
66,5.277
67,5.277
68,5.32
69,5.297
70,5.366
71,5.352
72,5.363
73,5.323
74,5.389
75,5.403
76,5.375
77,5.358
78,5.392
79,5.446
80,5.406
81,5.448
82,5.397
83,5.45
84,5.455
85,5.448
86,5.454
87,5.459
88,5.521
89,5.463
90,5.465
91,5.504
92,5.502
93,5.495
94,5.463
95,5.518
96,5.48
97,5.518
98,5.524
99,5.513
100,5.546
